episode,reward,loss,length,epsilon
1,-1.0294,0.3117,3600,0.98
2,-2.1694,0.2669,3600,0.9604
3,-1.9628,0.2878,3600,0.9412
4,-3.3849,0.2744,3600,0.9224
5,0.0232,0.3811,3600,0.9039
6,-1.5846,0.4061,3600,0.8858
7,-0.0534,0.385,3600,0.8681
8,-0.5045,0.3788,3600,0.8508
9,-2.0104,0.352,3600,0.8337
10,-1.7191,0.3377,3600,0.8171
11,0.0929,0.322,3600,0.8007
12,-2.3875,0.3179,3600,0.7847
13,-2.5541,0.3252,3600,0.769
14,-2.5495,0.3175,3600,0.7536
15,-2.4816,0.3122,3600,0.7386
16,-2.642,0.3177,3600,0.7238
17,-0.4525,0.3263,3600,0.7093
18,0.0357,0.3178,3600,0.6951
19,-2.2048,0.2927,3600,0.6812
20,-2.9148,0.2826,3600,0.6676
21,-3.6435,0.2956,3600,0.6543
22,-0.398,0.2936,3600,0.6412
23,-2.3866,0.292,3600,0.6283
24,-1.9675,0.2858,3600,0.6158
25,-2.9099,0.2707,3600,0.6035
26,-0.3153,0.2572,3600,0.5914
27,-0.2188,0.2661,3600,0.5796
28,-1.1864,0.2826,3600,0.568
29,-3.681,0.2814,3600,0.5566
30,-3.146,0.2897,3600,0.5455
31,-3.6301,0.2926,3600,0.5346
32,-4.0252,0.2827,3600,0.5239
33,-1.7865,0.2709,3600,0.5134
34,-0.6677,0.2766,3600,0.5031
35,-2.1873,0.2689,3600,0.4931
36,-4.1739,0.2651,3600,0.4832
37,-1.256,0.2651,3600,0.4735
38,-3.7644,0.2654,3600,0.4641
39,-3.9134,0.2763,3600,0.4548
40,-1.8258,0.2664,3600,0.4457
41,0.1036,0.2528,3600,0.4368
42,0.1348,0.261,3600,0.4281
43,0.187,0.2741,3600,0.4195
44,-1.9037,0.2711,3600,0.4111
45,-0.0501,0.2637,3600,0.4029
46,0.1846,0.2488,3600,0.3948
47,-0.6394,0.2287,3600,0.3869
48,-1.2779,0.2167,3600,0.3792
49,-0.7273,0.2091,3600,0.3716
50,-1.3985,0.1955,3600,0.3642
