episod,avg_waiting_time_car,avg_waiting_time_bicycle,avg_waiting_time_bus,avg_waiting_time_pedestrian,co2_total_kg_per_s,co2_total_kg_per_hour,reward_waiting_avg,reward_flow_avg,reward_co2_avg,reward_equity_avg,reward_safety_avg,reward_blocked_avg,reward_diversity_avg,reward_consecutive_continue_avg,reward_bus_assistance_avg,reward_next_bonus_avg,reward_skip2p1_effectiveness_avg,reward_skip2p1_incentive_avg,reward_stability_avg,safety_violations_total
1,34.86,12.81,1.31,0.82,0.26,933.22,-1.09,0.36,-0.01,-0.24,0.05,-0.02,0.0,0.0,0.01,0.04,0.04,-0.0,0.01,0
2,48.0,22.21,4.51,1.14,0.67,2416.1,-2.19,0.33,-0.03,-0.2,0.05,-0.02,-0.0,0.0,-0.01,0.03,0.04,-0.0,0.01,0
3,43.07,10.45,10.32,1.1,0.99,3555.37,-1.82,0.3,-0.05,-0.31,0.05,-0.02,0.0,0.0,-0.03,0.04,0.04,-0.0,0.01,0
4,46.27,36.75,3.28,1.3,0.62,2217.97,-3.4,0.2,-0.03,-0.1,0.05,-0.02,0.0,0.0,-0.01,0.04,0.04,-0.0,0.01,0
5,21.75,10.47,2.42,0.83,0.2,716.81,-0.19,0.46,-0.01,-0.19,0.05,-0.02,-0.0,0.0,0.01,0.03,0.04,-0.0,0.01,0
6,24.08,36.61,0.71,0.67,0.19,688.18,-1.72,0.3,-0.01,-0.12,0.05,-0.02,-0.0,0.0,0.01,0.04,0.04,-0.0,0.01,0
7,18.97,7.7,1.0,0.88,0.14,520.61,-0.25,0.45,-0.01,-0.22,0.05,-0.02,-0.0,0.0,0.01,0.03,0.04,-0.0,0.02,0
8,12.08,27.22,1.61,1.24,0.07,238.92,-0.65,0.41,-0.0,-0.23,0.05,-0.02,-0.0,0.0,0.01,0.03,0.04,-0.0,0.01,0
9,45.34,25.5,6.17,1.04,0.63,2276.26,-2.09,0.34,-0.03,-0.16,0.05,-0.02,-0.0,0.0,-0.02,0.03,0.04,-0.0,0.01,0
10,40.4,9.73,7.42,0.75,1.08,3901.68,-1.62,0.31,-0.05,-0.31,0.05,-0.02,0.0,0.0,-0.01,0.03,0.04,-0.01,0.01,0
11,18.54,11.99,1.04,1.77,0.09,322.37,-0.21,0.47,-0.0,-0.12,0.05,-0.02,-0.0,0.0,0.01,0.02,0.04,-0.0,0.01,0
12,47.68,9.06,5.17,4.95,0.63,2282.58,-2.3,0.32,-0.03,-0.34,0.05,-0.02,-0.0,0.0,0.0,0.03,0.04,-0.0,0.01,0
13,42.19,34.9,6.61,1.81,1.11,4009.13,-2.63,0.24,-0.06,-0.08,0.05,-0.02,-0.0,0.0,-0.01,0.03,0.04,-0.0,0.02,0
14,48.96,10.91,4.99,3.59,0.85,3056.89,-2.42,0.28,-0.04,-0.32,0.05,-0.02,-0.0,0.0,-0.0,0.03,0.04,-0.0,0.01,0
15,51.23,21.7,1.22,1.98,0.5,1789.14,-2.53,0.31,-0.02,-0.22,0.05,-0.02,-0.01,0.0,0.0,0.04,0.04,-0.0,0.02,0
16,48.7,32.15,1.98,1.75,0.46,1671.46,-2.77,0.28,-0.02,-0.12,0.05,-0.02,0.0,0.0,0.01,0.02,0.04,-0.0,0.02,0
17,18.47,27.71,1.42,2.11,0.08,270.63,-0.69,0.42,-0.0,-0.14,0.05,-0.02,-0.0,0.0,0.01,0.02,0.04,-0.0,0.01,0
18,20.58,10.21,0.91,1.94,0.1,356.58,-0.21,0.47,-0.0,-0.18,0.05,-0.02,-0.0,0.0,0.01,0.02,0.04,-0.0,0.02,0
19,43.78,17.47,6.35,1.89,1.34,4819.57,-2.13,0.27,-0.07,-0.23,0.05,-0.02,-0.0,0.0,-0.01,0.02,0.04,-0.0,0.02,0
20,49.69,32.58,2.28,2.04,0.66,2385.42,-3.04,0.29,-0.03,-0.12,0.05,-0.02,-0.0,0.0,0.01,0.02,0.04,-0.0,0.02,0
21,51.04,36.7,0.71,3.66,0.51,1832.54,-3.69,0.2,-0.03,-0.11,0.05,-0.02,-0.0,0.0,0.01,0.02,0.04,-0.0,0.02,0
22,18.56,21.71,1.32,2.13,0.06,220.54,-0.67,0.4,-0.0,-0.12,0.05,-0.02,-0.0,0.0,0.01,0.03,0.05,-0.0,0.02,0
23,45.48,33.69,1.03,2.32,0.31,1100.71,-2.56,0.31,-0.02,-0.1,0.05,-0.02,-0.0,0.0,0.0,0.02,0.04,-0.0,0.02,0
